OrderDetailsID,OrderID,ProductID,Discount,Quantity
OD000056,CA-2016-111682,OFF-ST-10000604,0.0,6
OD000057,CA-2016-111682,OFF-PA-10001569,0.0,5
OD000058,CA-2016-111682,FUR-CH-10003968,0.1,5
OD000059,CA-2016-111682,OFF-PA-10000587,0.0,2
OD000060,CA-2016-111682,TEC-AC-10002167,0.0,2
OD000061,CA-2016-111682,OFF-BI-10001460,0.2,4
OD000062,CA-2016-111682,OFF-AR-10001868,0.0,1
OD000063,CA-2015-135545,TEC-AC-10004633,0.0,2
OD000064,CA-2015-135545,OFF-BI-10001078,0.2,6
OD000065,CA-2015-135545,OFF-PA-10003892,0.0,3
OD000066,CA-2015-135545,FUR-FU-10000397,0.0,4
OD000067,US-2015-164175,FUR-CH-10001146,0.3,5
OD000068,CA-2014-106376,OFF-AR-10002671,0.2,8
OD000069,CA-2014-106376,TEC-PH-10002726,0.2,4
OD000070,CA-2016-119823,OFF-PA-10000482,0.0,2
OD000071,CA-2016-106075,OFF-BI-10004654,0.2,1
OD000072,CA-2017-114440,OFF-PA-10004675,0.0,3
OD000073,US-2015-134026,FUR-CH-10000513,0.2,8
OD000074,US-2015-134026,FUR-FU-10003708,0.2,2
OD000075,US-2015-134026,OFF-ST-10004123,0.2,1
OD000076,US-2017-118038,OFF-BI-10004182,0.8,3
OD000077,US-2017-118038,FUR-FU-10000260,0.6,3
OD000078,US-2017-118038,OFF-ST-10000615,0.2,3
OD000079,US-2014-147606,FUR-FU-10003194,0.6,5
OD000080,CA-2016-127208,OFF-AP-10002118,0.0,1
OD000081,CA-2016-127208,OFF-BI-10002309,0.0,3
OD000082,CA-2014-139451,OFF-AR-10002053,0.0,5
OD000083,CA-2014-139451,OFF-ST-10002370,0.0,1
OD000084,CA-2015-149734,OFF-EN-10000927,0.2,7
OD000085,US-2017-119662,OFF-ST-10003656,0.2,3
OD000086,CA-2017-140088,FUR-CH-10000863,0.0,2
OD000087,CA-2017-155558,TEC-AC-10001998,0.0,1
OD000088,CA-2017-155558,OFF-LA-10000134,0.0,2
OD000089,CA-2016-159695,OFF-ST-10003442,0.2,7
OD000090,CA-2016-109806,OFF-AR-10004930,0.0,3
OD000091,CA-2016-109806,TEC-PH-10004093,0.2,2
OD000092,CA-2016-109806,OFF-PA-10000304,0.0,1
OD000093,CA-2015-149587,OFF-PA-10003177,0.0,2
OD000094,CA-2015-149587,FUR-FU-10003799,0.0,3
OD000095,CA-2015-149587,OFF-BI-10002852,0.0,2
OD000096,US-2017-109484,OFF-BI-10004738,0.7,1
OD000097,CA-2017-161018,FUR-FU-10000629,0.0,7
OD000098,CA-2017-157833,OFF-BI-10001721,0.2,3
OD000099,CA-2016-149223,OFF-AP-10000358,0.0,6
OD000100,CA-2016-158568,OFF-PA-10003256,0.2,7
OD000101,CA-2016-158568,TEC-AC-10001767,0.2,3
OD000102,CA-2016-158568,OFF-BI-10002609,0.8,3
OD000103,CA-2016-129903,OFF-PA-10004040,0.0,4
OD000104,US-2015-156867,TEC-AC-10001552,0.2,6
OD000105,US-2015-156867,FUR-FU-10004006,0.2,3
OD000106,US-2015-156867,OFF-BI-10002794,0.7,3
OD000107,CA-2017-119004,TEC-AC-10003499,0.2,8
OD000108,CA-2017-119004,TEC-PH-10002844,0.2,1
OD000109,CA-2017-119004,OFF-AR-10000390,0.2,1
OD000110,CA-2015-129476,TEC-AC-10000844,0.2,5
OD000111,CA-2017-146780,FUR-FU-10001934,0.0,2
OD000112,CA-2016-128867,OFF-AR-10000380,0.0,2
OD000113,CA-2016-128867,OFF-BI-10003981,0.0,6
OD000114,CA-2014-115259,OFF-FA-10000621,0.2,14
OD000115,CA-2014-115259,OFF-EN-10002600,0.2,2
OD000116,CA-2014-115259,OFF-PA-10004965,0.2,3
OD000117,CA-2014-115259,OFF-EN-10002504,0.2,6
OD000118,CA-2015-110457,FUR-TA-10001768,0.0,3
OD000119,US-2015-136476,OFF-BI-10003650,0.7,1
OD000120,CA-2016-103730,FUR-FU-10002157,0.0,3
OD000121,CA-2016-103730,OFF-BI-10003910,0.0,4
OD000122,CA-2016-103730,OFF-ST-10000777,0.0,6
OD000123,CA-2016-103730,OFF-EN-10002500,0.0,9
OD000124,CA-2016-103730,TEC-PH-10003875,0.0,7
OD000125,US-2014-152030,FUR-CH-10004063,0.3,3
OD000126,US-2014-134614,FUR-TA-10004534,0.5,6
OD000127,US-2017-107272,OFF-BI-10003274,0.7,2
OD000128,US-2017-107272,OFF-ST-10002974,0.2,7
OD000129,US-2016-125969,FUR-CH-10001146,0.2,2
OD000130,US-2016-125969,FUR-FU-10003773,0.0,3
OD000131,US-2017-164147,TEC-PH-10002293,0.4,5
OD000132,US-2017-164147,OFF-PA-10002377,0.2,2
OD000133,US-2017-164147,OFF-FA-10002780,0.2,9
OD000134,CA-2016-145583,OFF-PA-10001804,0.0,3
OD000135,CA-2016-145583,OFF-PA-10001736,0.0,1
OD000136,CA-2016-145583,OFF-AR-10001149,0.0,4
OD000137,CA-2016-145583,OFF-FA-10002988,0.0,2
OD000138,CA-2016-145583,OFF-BI-10004781,0.2,3
OD000139,CA-2016-145583,OFF-SU-10001218,0.0,6
OD000140,CA-2016-145583,FUR-FU-10001706,0.0,14
OD000141,CA-2016-110366,FUR-FU-10004848,0.2,2
OD000142,CA-2017-106180,OFF-AR-10000940,0.0,3
OD000143,CA-2017-106180,OFF-EN-10004030,0.0,3
OD000144,CA-2017-106180,OFF-PA-10004327,0.0,3
OD000145,CA-2017-155376,OFF-AP-10001058,0.0,3
OD000146,CA-2015-110744,OFF-ST-10003656,0.0,7
OD000147,CA-2014-110072,FUR-FU-10000521,0.2,4
OD000148,CA-2016-114489,TEC-PH-10000215,0.0,11
OD000149,CA-2016-114489,TEC-PH-10001448,0.0,3
OD000150,CA-2016-114489,FUR-CH-10000454,0.0,8
OD000151,CA-2016-114489,OFF-BI-10002735,0.0,5
OD000152,CA-2016-158834,OFF-AP-10000326,0.2,5
OD000153,CA-2016-158834,TEC-PH-10001254,0.2,2
OD000154,CA-2015-124919,OFF-PA-10001950,0.0,7
OD000155,CA-2015-124919,OFF-PA-10002254,0.0,4
OD000156,CA-2015-124919,OFF-ST-10001590,0.0,6
OD000157,CA-2015-118948,OFF-AR-10001547,0.0,3
OD000158,CA-2014-104269,FUR-CH-10004063,0.2,2
OD000159,CA-2016-114104,OFF-LA-10002475,0.0,2
OD000160,CA-2016-114104,TEC-PH-10004536,0.0,7
OD000161,CA-2016-162733,OFF-PA-10002751,0.0,1
OD000162,CA-2015-119697,TEC-AC-10003657,0.2,2
OD000163,CA-2016-154508,OFF-EN-10001990,0.0,5
OD000164,CA-2016-113817,OFF-BI-10004002,0.2,2
OD000165,CA-2014-139892,OFF-AR-10004441,0.2,3
OD000166,CA-2014-139892,TEC-MA-10000822,0.4,8
OD000167,CA-2014-139892,OFF-ST-10000991,0.2,3
OD000168,CA-2014-139892,FUR-CH-10004287,0.3,9
OD000169,CA-2014-139892,OFF-AR-10002656,0.2,6
OD000170,CA-2014-139892,OFF-AP-10002518,0.8,5
OD000171,CA-2014-139892,TEC-PH-10003931,0.2,3
OD000172,CA-2014-118962,OFF-PA-10000659,0.0,3
OD000173,CA-2014-118962,OFF-PA-10001144,0.0,2
OD000174,CA-2014-118962,FUR-CH-10003817,0.2,7
OD000175,US-2014-100853,OFF-AP-10000891,0.8,2
OD000176,US-2014-100853,OFF-LA-10003148,0.2,4
OD000177,US-2017-152366,OFF-AP-10002684,0.8,4
OD000178,US-2015-101511,FUR-CH-10004698,0.3,7
OD000179,US-2015-101511,OFF-SU-10002189,0.2,5
OD000180,CA-2015-137225,OFF-AR-10001940,0.0,1
OD000181,CA-2014-166191,OFF-ST-10003455,0.2,2
OD000182,CA-2014-166191,TEC-AC-10004659,0.2,7
OD000183,CA-2014-158274,TEC-PH-10003273,0.0,4
OD000184,CA-2014-158274,TEC-PH-10004896,0.0,5
OD000185,CA-2014-158274,TEC-AC-10002345,0.0,2
OD000186,CA-2016-105018,OFF-BI-10001890,0.0,2
OD000187,CA-2014-123260,TEC-AC-10002323,0.0,8
OD000188,CA-2016-157000,OFF-ST-10001328,0.2,3
OD000189,CA-2016-157000,OFF-PA-10001950,0.2,3
OD000190,CA-2015-102281,FUR-BO-10002613,0.2,4
OD000191,CA-2015-102281,TEC-PH-10001552,0.0,6
OD000192,CA-2015-102281,OFF-PA-10000061,0.0,8
OD000193,CA-2015-102281,FUR-BO-10002545,0.2,3
OD000194,CA-2015-102281,OFF-AR-10003514,0.0,5
OD000195,CA-2015-131457,OFF-EN-10001509,0.0,7
OD000196,CA-2014-140004,OFF-AR-10004685,0.2,2
OD000197,CA-2014-140004,OFF-AR-10004027,0.2,3
OD000198,CA-2017-107720,OFF-ST-10001414,0.0,3
OD000199,US-2017-124303,OFF-BI-10000343,0.7,2
OD000200,US-2017-124303,OFF-PA-10002749,0.2,3
OD000201,CA-2017-105074,OFF-PA-10002666,0.2,3
OD000202,CA-2014-133690,FUR-TA-10004289,0.5,2
OD000203,CA-2014-133690,OFF-AP-10003622,0.2,1
OD000204,US-2017-116701,OFF-AP-10003217,0.8,2
OD000205,CA-2017-126382,FUR-FU-10002960,0.2,7
OD000206,CA-2017-108329,TEC-PH-10001918,0.2,4
OD000207,CA-2017-135860,OFF-ST-10000642,0.0,4
OD000208,CA-2017-135860,TEC-PH-10001700,0.0,2
OD000209,CA-2017-135860,OFF-BI-10003274,0.0,4
OD000210,CA-2017-135860,OFF-FA-10000134,0.0,9
OD000211,CA-2017-135860,OFF-ST-10001522,0.0,1
OD000212,CA-2015-101007,TEC-AC-10001266,0.2,2
OD000213,CA-2015-146262,OFF-LA-10004544,0.2,2
OD000214,CA-2015-146262,FUR-BO-10004695,0.5,5
OD000215,CA-2015-146262,TEC-PH-10002844,0.4,3
OD000216,CA-2015-146262,TEC-MA-10000864,0.7,9
OD000217,CA-2015-146262,TEC-AC-10000109,0.2,2
OD000218,CA-2016-130162,OFF-ST-10001328,0.0,6
OD000219,CA-2016-130162,TEC-PH-10002563,0.2,3
OD000220,CA-2015-169397,OFF-FA-10000585,0.2,2
OD000221,CA-2015-169397,OFF-PA-10004000,0.2,6
OD000222,CA-2015-169397,OFF-BI-10002852,0.7,4
OD000223,CA-2015-169397,FUR-FU-10000087,0.2,4
OD000224,CA-2015-169397,TEC-MA-10001148,0.7,4
OD000225,CA-2015-169397,OFF-AR-10001958,0.2,2
OD000226,CA-2015-163055,OFF-AR-10001026,0.0,1
OD000227,CA-2015-163055,FUR-TA-10003748,0.0,5
OD000228,CA-2015-163055,OFF-ST-10002485,0.0,1
OD000229,US-2015-145436,FUR-CH-10004860,0.2,2
OD000230,US-2015-145436,FUR-CH-10004477,0.2,8
OD000231,US-2014-156216,OFF-BI-10001679,0.7,7
OD000232,US-2017-100930,FUR-TA-10001705,0.45,2
OD000233,US-2017-100930,FUR-TA-10003473,0.45,3
OD000234,US-2017-100930,OFF-BI-10001679,0.7,2
OD000235,US-2017-100930,FUR-FU-10004017,0.2,3
OD000236,US-2017-100930,TEC-AC-10003832,0.2,3
OD000237,CA-2017-160514,OFF-PA-10002479,0.0,2
OD000238,CA-2016-157749,OFF-PA-10003349,0.2,5
OD000239,CA-2016-157749,FUR-FU-10000576,0.6,5
OD000240,CA-2016-157749,FUR-FU-10004351,0.6,3
OD000241,CA-2016-157749,TEC-PH-10000011,0.2,2
OD000242,CA-2016-157749,FUR-TA-10002607,0.5,5
OD000243,CA-2016-157749,FUR-FU-10002505,0.6,3
OD000244,CA-2016-157749,OFF-AR-10004685,0.2,2
OD000245,CA-2014-131926,FUR-CH-10004063,0.0,7
OD000246,CA-2014-131926,OFF-ST-10002276,0.0,2
OD000247,CA-2014-131926,OFF-PA-10004082,0.0,6
OD000248,CA-2014-131926,OFF-AP-10002945,0.0,5
OD000249,CA-2014-131926,OFF-PA-10000061,0.0,4
OD000250,CA-2016-154739,FUR-CH-10002965,0.2,2
OD000251,CA-2016-145625,OFF-PA-10004569,0.0,1
OD000252,CA-2016-145625,TEC-AC-10003832,0.0,13
OD000253,CA-2016-146941,OFF-ST-10001228,0.0,6
OD000254,CA-2016-146941,OFF-EN-10003296,0.0,4
OD000255,US-2015-159982,FUR-FU-10002505,0.6,9
OD000256,US-2015-159982,OFF-ST-10004804,0.2,2
OD000257,US-2015-159982,OFF-ST-10001590,0.2,5
OD000258,US-2015-159982,TEC-PH-10001580,0.2,6
OD000259,CA-2017-163139,TEC-AC-10000290,0.0,3
OD000260,CA-2017-163139,OFF-ST-10002790,0.0,3
OD000261,CA-2017-163139,OFF-BI-10003460,0.2,5
OD000262,US-2017-155299,OFF-AP-10002203,0.8,2
OD000263,US-2014-106992,TEC-MA-10000822,0.4,3
OD000264,US-2014-106992,TEC-MA-10003353,0.4,7
OD000265,CA-2016-125318,TEC-PH-10001433,0.2,4
OD000266,CA-2015-155040,TEC-AC-10004469,0.0,2
OD000267,CA-2017-136826,OFF-AR-10003602,0.2,3
OD000268,CA-2016-111010,OFF-FA-10003472,0.0,6
OD000269,US-2017-145366,OFF-ST-10004180,0.2,1
OD000270,US-2017-145366,OFF-EN-10004386,0.2,3
OD000271,CA-2017-163979,OFF-ST-10003208,0.0,4
OD000272,CA-2015-155334,TEC-AC-10003628,0.0,7
OD000273,CA-2015-155334,FUR-FU-10003274,0.0,3
OD000274,CA-2015-155334,OFF-BI-10002557,0.2,3
OD000275,CA-2017-118136,OFF-PA-10002615,0.0,2
OD000276,CA-2017-118136,OFF-AR-10001427,0.0,1
OD000277,CA-2017-132976,OFF-PA-10000673,0.2,2
OD000278,CA-2017-132976,OFF-PA-10004470,0.2,4
OD000279,CA-2017-132976,OFF-ST-10000876,0.2,6
OD000280,CA-2017-132976,OFF-LA-10002043,0.2,3
OD000281,US-2015-161991,OFF-BI-10004967,0.8,5
OD000282,US-2015-161991,TEC-PH-10001760,0.2,7
OD000283,CA-2015-130890,FUR-TA-10002903,0.2,5
OD000284,CA-2015-130883,OFF-PA-10000474,0.2,5
OD000285,CA-2015-130883,TEC-AC-10001956,0.2,5
OD000286,CA-2015-130883,OFF-PA-10004100,0.2,6
OD000287,CA-2016-112697,OFF-BI-10000778,0.7,7
OD000288,CA-2016-112697,OFF-AP-10002684,0.2,2
OD000289,CA-2016-112697,OFF-SU-10000646,0.2,5
OD000290,CA-2016-110772,OFF-FA-10002983,0.2,7
OD000291,CA-2016-110772,OFF-LA-10004689,0.2,8
OD000292,CA-2016-110772,TEC-AC-10002001,0.2,2
OD000293,CA-2016-110772,FUR-BO-10004709,0.5,3
OD000294,CA-2014-111451,FUR-FU-10004091,0.2,8
OD000295,CA-2014-111451,FUR-CH-10001891,0.2,3
OD000296,CA-2014-111451,FUR-FU-10002918,0.2,3
OD000297,CA-2014-111451,OFF-BI-10004593,0.7,5
OD000298,CA-2014-111451,OFF-FA-10004854,0.2,3
OD000299,CA-2016-142545,OFF-PA-10002105,0.0,5
OD000300,CA-2016-142545,OFF-ST-10002756,0.0,8
OD000301,CA-2016-142545,OFF-PA-10004243,0.0,3
OD000302,CA-2016-142545,FUR-FU-10001861,0.0,4
OD000303,CA-2016-142545,OFF-BI-10002706,0.0,1
OD000304,US-2017-152380,FUR-TA-10002533,0.5,3
OD000305,CA-2015-144253,FUR-FU-10002671,0.0,2
OD000306,CA-2014-130960,OFF-AR-10003651,0.0,3
OD000307,CA-2014-111003,OFF-BI-10001072,0.0,3
OD000308,CA-2014-111003,OFF-AR-10002135,0.0,6
OD000309,CA-2017-126774,OFF-AR-10002804,0.0,1
OD000310,CA-2016-142902,FUR-FU-10001918,0.2,4
OD000311,CA-2016-142902,FUR-CH-10004086,0.2,2
OD000312,CA-2016-142902,FUR-FU-10001756,0.2,1
OD000313,CA-2016-142902,OFF-LA-10000634,0.2,3
OD000314,CA-2014-120887,FUR-FU-10001588,0.0,3
OD000315,CA-2014-167850,TEC-PH-10002398,0.2,2
OD000316,CA-2014-167850,OFF-PA-10001937,0.2,3
OD000317,CA-2014-164259,OFF-AR-10003373,0.2,4
OD000318,CA-2014-164973,FUR-CH-10002602,0.1,1
OD000319,CA-2014-164973,TEC-MA-10002927,0.0,2
OD000320,CA-2014-164973,TEC-PH-10004093,0.0,6
OD000321,CA-2014-164973,TEC-AC-10000892,0.0,4
OD000322,CA-2014-164973,OFF-ST-10002974,0.0,1
OD000323,CA-2014-156601,OFF-FA-10000624,0.0,2
OD000324,CA-2016-162138,OFF-BI-10004593,0.2,6
OD000325,CA-2016-162138,TEC-AC-10001908,0.0,1
OD000326,CA-2017-153339,FUR-FU-10001967,0.2,1
OD000327,US-2016-141544,TEC-PH-10003645,0.4,3
OD000328,US-2016-141544,OFF-ST-10000675,0.2,2
OD000329,US-2016-141544,FUR-CH-10003312,0.3,4
OD000330,US-2016-141544,OFF-LA-10001074,0.2,10
OD000331,US-2016-141544,OFF-BI-10001524,0.7,6
OD000332,US-2016-150147,TEC-PH-10004614,0.4,2
OD000333,US-2016-150147,OFF-BI-10001153,0.7,2
OD000334,US-2016-150147,OFF-BI-10001982,0.7,3
OD000335,CA-2015-137946,OFF-BI-10001922,0.2,1
OD000336,CA-2015-137946,TEC-CO-10001449,0.2,2
OD000337,CA-2015-137946,OFF-BI-10004140,0.2,4
OD000338,CA-2014-129924,OFF-BI-10003314,0.2,2
OD000339,CA-2014-129924,FUR-TA-10004575,0.2,3
OD000340,CA-2015-128167,OFF-FA-10000490,0.0,4
OD000341,CA-2014-122336,OFF-AR-10000122,0.2,4
OD000342,CA-2014-122336,OFF-BI-10003656,0.7,10
OD000343,CA-2014-122336,OFF-FA-10002780,0.2,13
OD000344,CA-2014-122336,TEC-PH-10000702,0.4,12
OD000345,US-2015-120712,OFF-ST-10000107,0.2,4
OD000346,CA-2017-169901,TEC-PH-10002293,0.2,3
OD000347,CA-2017-134306,OFF-AR-10004027,0.0,3
OD000348,CA-2017-134306,OFF-PA-10000249,0.0,2
OD000349,CA-2017-134306,OFF-AR-10001374,0.0,2
OD000350,CA-2016-129714,TEC-AC-10000290,0.0,1
OD000351,CA-2016-129714,OFF-PA-10001970,0.0,2
OD000352,CA-2016-129714,OFF-BI-10002160,0.2,1
OD000353,CA-2016-129714,OFF-BI-10004995,0.2,4
OD000354,CA-2016-138520,FUR-BO-10002268,0.2,6
OD000355,CA-2016-138520,OFF-EN-10001137,0.0,2
OD000356,CA-2016-138520,OFF-AR-10002399,0.0,4
OD000357,CA-2016-138520,OFF-PA-10002713,0.0,5
OD000358,CA-2016-130001,OFF-PA-10002666,0.2,5
OD000359,CA-2017-155698,OFF-AP-10001124,0.0,8
OD000360,CA-2017-155698,OFF-LA-10001158,0.0,2
OD000361,CA-2017-144904,OFF-LA-10001158,0.0,2
OD000362,CA-2017-144904,FUR-CH-10000785,0.1,3
OD000363,CA-2017-144904,OFF-AR-10003732,0.0,2
OD000364,CA-2017-144904,FUR-FU-10000023,0.0,8
OD000365,CA-2014-123344,OFF-ST-10001713,0.0,4
OD000366,CA-2016-155516,OFF-BI-10002412,0.0,4
OD000367,CA-2016-155516,OFF-SU-10001225,0.0,2
OD000368,CA-2016-155516,OFF-ST-10002406,0.0,7
OD000369,CA-2016-155516,FUR-BO-10002545,0.0,4
OD000370,CA-2017-104745,OFF-PA-10002036,0.2,5
OD000371,CA-2017-104745,OFF-ST-10002205,0.2,3
OD000372,US-2014-119137,OFF-BI-10001982,0.7,5
OD000373,US-2014-119137,TEC-AC-10003911,0.2,8
OD000374,US-2014-119137,OFF-AR-10000658,0.2,1
OD000375,US-2014-119137,TEC-AC-10002076,0.2,10
OD000376,US-2016-134656,OFF-PA-10003039,0.2,4
OD000377,US-2017-134481,FUR-TA-10004915,0.3,7
OD000378,CA-2015-130792,OFF-AP-10000696,0.8,3
OD000379,CA-2015-130792,OFF-ST-10003327,0.2,3
OD000380,CA-2015-130792,OFF-BI-10000309,0.8,4
OD000381,CA-2016-134775,OFF-PA-10004734,0.0,7
OD000382,CA-2016-134775,OFF-BI-10002225,0.2,3
OD000383,CA-2015-125395,TEC-AC-10004708,0.0,2
OD000384,US-2015-168935,FUR-TA-10000617,0.45,3
OD000385,US-2015-168935,TEC-AC-10002335,0.2,3
OD000386,CA-2015-122756,TEC-MA-10001681,0.7,4
OD000387,CA-2015-122756,FUR-FU-10001935,0.2,1
OD000388,CA-2014-115973,OFF-AR-10004757,0.2,1
OD000389,CA-2017-101798,OFF-BI-10000050,0.2,4
OD000390,CA-2017-101798,TEC-AC-10001998,0.0,2
OD000391,US-2014-135972,TEC-PH-10003012,0.2,2
OD000392,US-2014-135972,TEC-CO-10002313,0.0,3
OD000393,US-2014-134971,OFF-BI-10003982,0.8,3
OD000394,CA-2017-102946,OFF-BI-10004492,0.2,3
OD000395,CA-2017-165603,OFF-ST-10000798,0.0,2
OD000396,CA-2017-165603,OFF-PA-10002552,0.0,2
OD000397,CA-2015-122259,OFF-SU-10002573,0.0,4
OD000398,CA-2016-108987,OFF-ST-10001580,0.2,3
OD000399,CA-2016-108987,FUR-BO-10004834,0.32,4
OD000400,CA-2016-108987,OFF-ST-10000934,0.2,4
OD000401,CA-2016-108987,TEC-AC-10000158,0.2,2
OD000402,CA-2014-113166,OFF-PA-10001947,0.2,2
OD000403,CA-2014-155208,OFF-AR-10003478,0.2,6
OD000404,CA-2017-117933,OFF-AP-10004249,0.0,3
OD000405,CA-2017-117457,TEC-AC-10000158,0.0,5
OD000406,CA-2017-117457,TEC-CO-10004115,0.2,3
OD000407,CA-2017-117457,OFF-PA-10003724,0.0,5
OD000408,CA-2017-117457,FUR-TA-10002041,0.2,7
OD000409,CA-2017-117457,OFF-PA-10002893,0.0,1
OD000410,CA-2017-117457,OFF-LA-10003766,0.0,9
OD000411,CA-2017-117457,OFF-PA-10001970,0.0,1
OD000412,CA-2017-117457,FUR-BO-10001972,0.15,13
OD000413,CA-2017-117457,FUR-CH-10003956,0.2,2
OD000414,CA-2017-142636,OFF-PA-10000157,0.0,7
OD000415,CA-2017-142636,FUR-CH-10001891,0.2,4
OD000416,CA-2017-122105,OFF-AR-10004344,0.0,8
OD000417,CA-2016-148796,FUR-CH-10004886,0.2,5
OD000418,CA-2017-154816,OFF-PA-10003845,0.0,1
OD000419,CA-2017-110478,OFF-AR-10001573,0.0,4
OD000420,CA-2017-110478,OFF-EN-10000483,0.0,1
OD000421,CA-2014-142048,TEC-AC-10004114,0.2,6
OD000422,CA-2017-125388,FUR-FU-10004712,0.0,4
OD000423,CA-2017-125388,OFF-ST-10000918,0.0,3
OD000424,CA-2017-155705,FUR-CH-10000015,0.0,4
OD000425,CA-2017-149160,FUR-FU-10003347,0.0,2
OD000426,CA-2017-149160,OFF-BI-10001543,0.0,8
OD000427,CA-2014-101476,TEC-MA-10000029,0.0,1
OD000428,CA-2017-152275,OFF-AR-10000369,0.2,6
OD000429,US-2016-123750,OFF-BI-10004584,0.7,2
OD000430,US-2016-123750,TEC-AC-10004659,0.2,7
OD000431,US-2016-123750,OFF-ST-10000617,0.2,2
OD000432,CA-2016-127369,OFF-ST-10003306,0.0,5
OD000433,US-2014-150574,OFF-BI-10000773,0.7,2
OD000434,US-2014-150574,TEC-AC-10002600,0.2,5
OD000435,CA-2016-147375,TEC-MA-10002937,0.3,3
OD000436,CA-2016-147375,OFF-PA-10001970,0.2,7
OD000437,CA-2017-130043,OFF-PA-10002230,0.2,8
OD000438,CA-2017-157252,FUR-CH-10003396,0.1,3
OD000439,CA-2016-115756,FUR-FU-10000246,0.0,1
OD000440,CA-2016-115756,OFF-ST-10000060,0.0,3
OD000441,CA-2016-115756,OFF-ST-10003058,0.0,3
OD000442,CA-2016-115756,OFF-PA-10002222,0.0,4
OD000443,CA-2016-115756,FUR-CH-10002372,0.0,3
OD000444,CA-2016-115756,OFF-LA-10001317,0.0,7
OD000445,CA-2017-154214,FUR-FU-10000206,0.0,1
OD000446,CA-2016-166674,OFF-AR-10000588,0.0,3
OD000447,CA-2016-166674,OFF-ST-10001469,0.0,3
OD000448,CA-2016-166674,OFF-AR-10001953,0.0,6
OD000449,CA-2016-166674,OFF-AR-10003156,0.0,3
OD000450,CA-2016-166674,OFF-AR-10004974,0.0,3
OD000451,CA-2016-166674,TEC-PH-10002365,0.0,4
OD000452,CA-2017-147277,FUR-TA-10001539,0.4,2
