OrderID,OrderDate,ShipDate,ShipMode,AddressID,CustomerID
CA-2015-102281,2015-10-12,2015-10-14,First Class,A000093,MP-17470
CA-2015-131457,2015-10-31,2015-11-06,Standard Class,A000094,MZ-17515
CA-2014-140004,2014-03-21,2014-03-25,Standard Class,A000095,CB-12025
CA-2017-107720,2017-11-06,2017-11-13,Standard Class,A000096,VM-21685
US-2017-124303,2017-07-06,2017-07-13,Standard Class,A000097,FH-14365
CA-2017-105074,2017-06-24,2017-06-29,Standard Class,A000098,MB-17305
CA-2014-133690,2014-08-03,2014-08-05,First Class,A000099,BS-11755
US-2017-116701,2017-12-17,2017-12-21,Second Class,A000100,LC-17140
CA-2017-126382,2017-06-03,2017-06-07,Standard Class,A000101,HK-14890
CA-2017-108329,2017-12-09,2017-12-14,Standard Class,A000102,LE-16810
CA-2017-135860,2017-12-01,2017-12-07,Standard Class,A000103,JH-15985
CA-2015-101007,2015-02-09,2015-02-13,Second Class,A000104,MS-17980
CA-2015-146262,2015-01-02,2015-01-09,Standard Class,A000105,VW-21775
CA-2016-130162,2016-10-28,2016-11-01,Standard Class,A000106,JH-15910
CA-2015-169397,2015-12-24,2015-12-27,First Class,A000107,JB-15925
CA-2015-163055,2015-08-09,2015-08-16,Standard Class,A000108,DS-13180
US-2015-145436,2015-02-28,2015-03-04,Standard Class,A000109,VD-21670
US-2014-156216,2014-09-13,2014-09-17,Standard Class,A000110,EA-14035
US-2017-100930,2017-04-07,2017-04-12,Standard Class,A000111,CS-12400
CA-2017-160514,2017-11-12,2017-11-16,Standard Class,A000112,DB-13120
CA-2016-157749,2016-06-04,2016-06-09,Second Class,A000113,KL-16645
CA-2014-131926,2014-06-01,2014-06-06,Second Class,A000114,DW-13480
CA-2016-154739,2016-12-10,2016-12-15,Second Class,A000115,LH-17155
CA-2016-145625,2016-09-11,2016-09-17,Standard Class,A000116,KC-16540
CA-2016-146941,2016-12-10,2016-12-13,First Class,A000117,DL-13315
US-2015-159982,2015-11-28,2015-12-04,Standard Class,A000118,DR-12880
CA-2017-163139,2017-12-01,2017-12-03,Second Class,A000119,CC-12670
US-2017-155299,2017-06-08,2017-06-12,Standard Class,A000120,Dl-13600
US-2014-106992,2014-09-19,2014-09-21,Second Class,A000121,SB-20290
CA-2016-125318,2016-06-06,2016-06-13,Standard Class,A000122,RC-19825
CA-2015-155040,2015-11-10,2015-11-15,Standard Class,A000123,AH-10210
CA-2017-136826,2017-06-16,2017-06-20,Standard Class,A000124,CB-12535
CA-2016-111010,2016-01-22,2016-01-28,Standard Class,A000125,PG-18895
US-2017-145366,2017-12-09,2017-12-13,Standard Class,A000126,CA-12310
CA-2017-163979,2017-12-28,2018-01-02,Second Class,A000127,KH-16690
CA-2015-155334,2015-07-30,2015-07-31,First Class,A000128,HA-14920
CA-2017-118136,2017-09-16,2017-09-17,First Class,A000129,BB-10990
CA-2017-132976,2017-10-13,2017-10-17,Standard Class,A000130,AG-10495
US-2015-161991,2015-09-26,2015-09-28,Second Class,A000131,SC-20725
CA-2015-130890,2015-11-02,2015-11-06,Standard Class,A000132,JO-15280
CA-2015-130883,2015-09-26,2015-10-02,Standard Class,A000133,TB-21520
CA-2016-112697,2016-12-18,2016-12-20,Second Class,A000134,AH-10195
CA-2016-110772,2016-11-20,2016-11-24,Second Class,A000135,NZ-18565
CA-2014-111451,2014-12-26,2014-12-28,First Class,A000136,KL-16555
CA-2016-142545,2016-10-28,2016-11-03,Standard Class,A000137,JD-15895
US-2017-152380,2017-11-19,2017-11-23,Standard Class,A000138,JH-15910
CA-2015-144253,2015-05-04,2015-05-09,Second Class,A000139,AS-10225
CA-2014-130960,2014-12-30,2015-01-04,Standard Class,A000140,KB-16600
CA-2014-111003,2014-06-01,2014-06-06,Standard Class,A000141,CR-12625
CA-2017-126774,2017-04-15,2017-04-17,First Class,A000142,SH-20395
CA-2016-142902,2016-09-12,2016-09-14,Second Class,A000143,BP-11185
CA-2014-120887,2014-09-27,2014-10-03,Standard Class,A000144,TS-21205
CA-2014-167850,2014-08-09,2014-08-16,Standard Class,A000145,AG-10525
CA-2014-164259,2014-12-28,2014-12-30,First Class,A000146,SP-20860
CA-2014-164973,2014-11-04,2014-11-09,Standard Class,A000147,NM-18445
CA-2014-156601,2014-09-19,2014-09-24,Standard Class,A000148,FA-14230
CA-2016-162138,2016-04-23,2016-04-27,Standard Class,A000149,GK-14620
CA-2017-153339,2017-11-03,2017-11-05,Second Class,A000150,DJ-13510
US-2016-141544,2016-08-30,2016-09-01,First Class,A000151,PO-18850
US-2016-150147,2016-04-25,2016-04-29,Second Class,A000152,JL-15850
CA-2015-137946,2015-09-01,2015-09-04,Second Class,A000153,DB-13615
CA-2014-129924,2014-07-12,2014-07-17,Standard Class,A000154,AC-10420
CA-2015-128167,2015-06-22,2015-06-26,Second Class,A000155,KL-16645
CA-2014-122336,2014-04-13,2014-04-17,Second Class,A000067,JD-15895
US-2015-120712,2015-12-20,2015-12-24,Standard Class,A000156,CS-12130
CA-2017-169901,2017-06-15,2017-06-19,Standard Class,A000157,CC-12550
CA-2017-134306,2017-07-08,2017-07-12,Standard Class,A000158,TD-20995
CA-2016-129714,2016-09-01,2016-09-03,First Class,A000159,AB-10060
CA-2016-138520,2016-04-08,2016-04-13,Standard Class,A000160,JL-15505
CA-2016-130001,2016-04-23,2016-04-28,Standard Class,A000161,HK-14890
CA-2017-155698,2017-03-08,2017-03-11,First Class,A000162,VB-21745
CA-2017-144904,2017-09-25,2017-10-01,Standard Class,A000163,KW-16435
CA-2014-123344,2014-09-24,2014-09-29,Standard Class,A000164,JD-16060
CA-2016-155516,2016-10-21,2016-10-21,Same Day,A000165,MK-17905
CA-2017-104745,2017-05-29,2017-06-04,Standard Class,A000166,GT-14755
US-2014-119137,2014-07-23,2014-07-27,Standard Class,A000167,AG-10900
US-2016-134656,2016-09-28,2016-10-01,First Class,A000168,MM-18280
US-2017-134481,2017-08-27,2017-09-01,Standard Class,A000169,AR-10405
CA-2015-130792,2015-04-28,2015-05-05,Standard Class,A000170,RA-19915
CA-2016-134775,2016-10-28,2016-10-29,First Class,A000171,AS-10285
CA-2015-125395,2015-06-26,2015-06-29,Second Class,A000172,LA-16780
US-2015-168935,2015-11-27,2015-12-02,Standard Class,A000173,DO-13435
CA-2015-122756,2015-12-03,2015-12-07,Standard Class,A000174,DK-13225
CA-2014-115973,2014-11-24,2014-11-26,First Class,A000175,NG-18430
CA-2017-101798,2017-12-11,2017-12-15,Standard Class,A000176,MV-18190
US-2014-135972,2014-09-21,2014-09-23,Second Class,A000177,JG-15115
US-2014-134971,2014-06-07,2014-06-10,Second Class,A000178,BP-11095
CA-2017-102946,2017-06-30,2017-07-05,Standard Class,A000179,VP-21730
CA-2017-165603,2017-10-17,2017-10-19,Second Class,A000180,SS-20140
CA-2015-122259,2015-10-31,2015-11-04,Standard Class,A000181,HP-14815
CA-2016-108987,2016-09-08,2016-09-10,Second Class,A000182,AG-10675
CA-2014-113166,2014-12-24,2014-12-26,First Class,A000183,LF-17185
CA-2014-155208,2014-04-16,2014-04-20,Standard Class,A000184,SP-20650
CA-2017-117933,2017-12-24,2017-12-29,Standard Class,A000185,RF-19840
CA-2017-117457,2017-12-08,2017-12-12,Standard Class,A000186,KH-16510
CA-2017-142636,2017-11-03,2017-11-07,Standard Class,A000187,KC-16675
CA-2017-122105,2017-06-24,2017-06-28,Standard Class,A000188,CJ-12010
CA-2016-148796,2016-04-14,2016-04-18,Standard Class,A000189,PB-19150
CA-2017-154816,2017-11-06,2017-11-10,Standard Class,A000190,VB-21745
CA-2017-110478,2017-03-04,2017-03-09,Standard Class,A000191,SP-20860
CA-2014-142048,2014-06-22,2014-06-25,First Class,A000192,JE-15745
CA-2017-125388,2017-10-19,2017-10-23,Standard Class,A000193,MP-17965
CA-2017-155705,2017-08-21,2017-08-23,Second Class,A000194,NF-18385
CA-2017-149160,2017-11-23,2017-11-26,Second Class,A000195,JM-15265
CA-2014-101476,2014-09-12,2014-09-13,First Class,A000196,SD-20485
CA-2017-152275,2017-10-01,2017-10-08,Standard Class,A000197,KH-16630
US-2016-123750,2016-04-15,2016-04-21,Standard Class,A000198,RB-19795
CA-2016-127369,2016-06-06,2016-06-07,First Class,A000199,DB-13060
US-2014-150574,2014-12-19,2014-12-25,Standard Class,A000200,MK-18160
CA-2016-147375,2016-06-12,2016-06-14,Second Class,A000201,PO-19180
CA-2017-130043,2017-09-15,2017-09-19,Standard Class,A000202,BB-11545
CA-2017-157252,2017-01-20,2017-01-23,Second Class,A000203,CV-12805
CA-2016-115756,2016-09-05,2016-09-07,Second Class,A000204,PK-19075
CA-2017-154214,2017-03-20,2017-03-25,Second Class,A000205,TB-21595
CA-2016-166674,2016-04-01,2016-04-03,Second Class,A000206,RB-19360
CA-2017-147277,2017-10-20,2017-10-24,Standard Class,A000207,EB-13705
CA-2016-100153,2016-12-13,2016-12-17,Standard Class,A000208,KH-16630
US-2014-110674,2014-02-12,2014-02-18,Standard Class,A000209,SC-20095
US-2016-157945,2016-09-26,2016-10-01,Standard Class,A000210,NF-18385
CA-2015-109638,2015-12-15,2015-12-22,Standard Class,A000211,JH-15985
CA-2016-109869,2016-04-22,2016-04-29,Standard Class,A000212,TN-21040
US-2015-101399,2015-01-17,2015-01-24,Standard Class,A000213,JS-15940
CA-2017-154907,2017-03-31,2017-04-04,Standard Class,A000214,DS-13180
US-2016-100419,2016-12-16,2016-12-20,Second Class,A000215,CC-12670
CA-2015-154144,2015-12-20,2015-12-24,Standard Class,A000216,MH-17785
CA-2014-144666,2014-11-09,2014-11-11,Second Class,A000217,JP-15520
CA-2016-103891,2016-07-12,2016-07-19,Standard Class,A000218,KH-16690
CA-2016-152632,2016-10-27,2016-11-02,Standard Class,A000219,JE-15475
CA-2016-100790,2016-06-26,2016-07-02,Standard Class,A000220,JG-15805
CA-2014-134677,2014-10-06,2014-10-10,Standard Class,A000221,XP-21865
CA-2014-127691,2014-07-22,2014-07-27,Standard Class,A000222,EM-14065
CA-2017-140963,2017-06-10,2017-06-13,First Class,A000223,MT-18070
CA-2014-154627,2014-10-29,2014-10-31,First Class,A000224,SA-20830
CA-2014-133753,2014-06-09,2014-06-13,Second Class,A000225,CW-11905
CA-2014-113362,2014-09-14,2014-09-19,Standard Class,A000226,AJ-10960
CA-2016-169166,2016-05-09,2016-05-14,Standard Class,A000227,SS-20590
US-2016-120929,2016-03-18,2016-03-21,Second Class,A000228,RO-19780
CA-2015-134782,2015-12-27,2015-12-31,Standard Class,A000229,MD-17350
CA-2016-126158,2016-07-25,2016-07-31,Standard Class,A000230,SC-20095
US-2016-105578,2016-05-30,2016-06-04,Standard Class,A000231,MY-17380
CA-2017-134978,2017-11-12,2017-11-15,Second Class,A000232,EB-13705
CA-2015-145352,2015-03-16,2015-03-22,Standard Class,A000233,CM-12385
CA-2017-135307,2017-11-26,2017-11-27,First Class,A000234,LS-17245
CA-2016-106341,2016-10-20,2016-10-23,First Class,A000235,LF-17185
CA-2017-163405,2017-12-21,2017-12-25,Standard Class,A000236,BN-11515
CA-2017-127432,2017-01-22,2017-01-27,Standard Class,A000237,AD-10180
CA-2015-157812,2015-03-22,2015-03-26,Standard Class,A000238,DB-13210
CA-2017-145142,2017-01-23,2017-01-25,First Class,A000239,MC-17605
US-2016-139486,2016-05-21,2016-05-23,First Class,A000240,LH-17155
CA-2015-158792,2015-12-26,2016-01-02,Standard Class,A000241,BD-11605
CA-2017-113558,2017-10-21,2017-10-26,Standard Class,A000242,PH-18790
US-2015-138303,2015-09-03,2015-09-07,Standard Class,A000243,MG-18145
CA-2015-102848,2015-11-07,2015-11-09,Second Class,A000244,KB-16240
US-2017-129441,2017-09-07,2017-09-11,Standard Class,A000245,JC-15340
CA-2016-168753,2016-05-29,2016-06-01,Second Class,A000246,RL-19615
CA-2016-126613,2016-07-10,2016-07-16,Standard Class,A000247,AA-10375
US-2017-122637,2017-09-03,2017-09-08,Second Class,A000248,EP-13915
CA-2015-147851,2015-12-03,2015-12-08,Standard Class,A000249,MP-17470
CA-2015-134894,2015-12-07,2015-12-11,Standard Class,A000250,DK-12985
CA-2014-140795,2014-02-01,2014-02-03,First Class,A000251,BD-11500
CA-2016-136924,2016-07-14,2016-07-17,First Class,A000252,ES-14080
US-2015-120161,2015-12-18,2015-12-23,Standard Class,A000253,LM-17065
CA-2014-103849,2014-05-11,2014-05-16,Standard Class,A000254,PG-18895
CA-2017-162929,2017-11-19,2017-11-22,First Class,A000255,AS-10135
CA-2015-113173,2015-11-15,2015-11-17,Second Class,A000256,DK-13225
CA-2016-136406,2016-04-15,2016-04-17,Second Class,A000257,BD-11320
CA-2017-112774,2017-09-11,2017-09-12,First Class,A000258,RC-19960
CA-2017-101945,2017-11-24,2017-11-28,Standard Class,A000259,GT-14710
CA-2017-100650,2017-06-29,2017-07-03,Second Class,A000260,DK-13225
CA-2014-155852,2014-03-03,2014-03-07,Second Class,A000261,AJ-10945
CA-2016-113243,2016-06-10,2016-06-15,Standard Class,A000262,OT-18730
CA-2017-118731,2017-11-20,2017-11-22,Second Class,A000263,LP-17080
CA-2014-145576,2014-09-14,2014-09-18,Second Class,A000264,CA-12775
CA-2015-130736,2015-12-07,2015-12-09,First Class,A000265,JF-15490
CA-2017-137099,2017-12-07,2017-12-10,First Class,A000266,FP-14320
CA-2017-156951,2017-10-01,2017-10-08,Standard Class,A000267,EB-13840
CA-2017-164826,2017-12-28,2018-01-04,Standard Class,A000268,JF-15415
CA-2016-127250,2016-11-03,2016-11-07,Standard Class,A000269,SF-20200
CA-2015-149713,2015-09-18,2015-09-22,Second Class,A000270,TG-21640
CA-2017-118640,2017-07-20,2017-07-26,Standard Class,A000271,CS-11950
CA-2015-132906,2015-09-10,2015-09-14,Standard Class,A000272,CC-12145
CA-2017-145233,2017-12-01,2017-12-05,Standard Class,A000273,DV-13465
CA-2015-128139,2015-07-03,2015-07-09,Standard Class,A000274,BD-11725
US-2016-156986,2016-03-20,2016-03-24,Standard Class,A000275,ZC-21910
CA-2014-135405,2014-01-09,2014-01-13,Standard Class,A000276,MS-17830
CA-2014-131450,2014-08-08,2014-08-15,Standard Class,A000277,LR-16915
CA-2016-120180,2016-07-14,2016-07-16,First Class,A000278,TP-21130
US-2016-100720,2016-07-16,2016-07-21,Standard Class,A000279,CK-12205
CA-2014-149958,2014-03-15,2014-03-19,Standard Class,A000280,AS-10240
US-2014-105767,2014-05-23,2014-05-27,Standard Class,A000281,AR-10510
CA-2016-161816,2016-04-28,2016-05-01,First Class,A000282,NB-18655
CA-2016-121223,2016-09-11,2016-09-13,Second Class,A000283,GD-14590
CA-2017-138611,2017-11-14,2017-11-17,Second Class,A000284,CK-12595
CA-2017-117947,2017-08-18,2017-08-23,Second Class,A000285,NG-18355
US-2014-111171,2014-12-26,2014-12-31,Standard Class,A000286,CA-12265
CA-2015-138009,2015-11-29,2015-12-03,Standard Class,A000287,SF-20965
CA-2017-163020,2017-09-15,2017-09-19,Standard Class,A000288,MO-17800
CA-2017-153787,2017-05-19,2017-05-23,Standard Class,A000289,AT-10735
CA-2017-133431,2017-12-17,2017-12-21,Standard Class,A000290,LC-17140
US-2016-135720,2016-12-11,2016-12-13,Second Class,A000291,FM-14380
CA-2017-144694,2017-09-24,2017-09-26,Second Class,A000292,BD-11605
CA-2015-168004,2015-10-04,2015-10-09,Second Class,A000293,DJ-13420
US-2016-123470,2016-08-15,2016-08-21,Standard Class,A000294,ME-17725
CA-2016-115917,2016-05-20,2016-05-25,Standard Class,A000295,RB-19465
CA-2016-147067,2016-12-18,2016-12-22,Standard Class,A000296,JD-16150
CA-2017-167913,2017-07-30,2017-08-03,Second Class,A000297,JL-15835
CA-2017-106103,2017-06-10,2017-06-15,Standard Class,A000298,SC-20305
US-2017-127719,2017-07-21,2017-07-25,Standard Class,A000299,TW-21025
CA-2017-126221,2017-12-30,2018-01-05,Standard Class,A000300,CC-12430
CA-2016-103947,2016-04-01,2016-04-08,Standard Class,A000301,BB-10990
CA-2016-160745,2016-12-11,2016-12-16,Second Class,A000302,AR-10825
CA-2016-132661,2016-10-23,2016-10-29,Standard Class,A000303,SR-20740
CA-2017-140844,2017-06-19,2017-06-23,Standard Class,A000304,AR-10405
CA-2016-137239,2016-08-22,2016-08-28,Standard Class,A000305,CR-12730
US-2016-156097,2016-09-19,2016-09-19,Same Day,A000306,EH-14125
CA-2015-146563,2015-08-24,2015-08-28,Standard Class,A000307,CB-12025
CA-2016-123666,2016-03-26,2016-03-30,Standard Class,A000308,SP-20545
CA-2016-143308,2016-11-04,2016-11-04,Same Day,A000309,RC-19825
CA-2017-132682,2017-06-08,2017-06-10,Second Class,A000310,TH-21235
CA-2014-156314,2014-12-24,2014-12-26,First Class,A000311,RP-19390
US-2017-106663,2017-06-09,2017-06-13,Standard Class,A000312,MO-17800
CA-2017-111178,2017-06-15,2017-06-22,Standard Class,A000313,TD-20995
CA-2017-130351,2017-12-05,2017-12-08,First Class,A000314,RB-19570
US-2017-119438,2017-03-18,2017-03-23,Standard Class,A000315,CD-11980
CA-2016-164511,2016-11-19,2016-11-24,Standard Class,A000316,DJ-13630
US-2017-168116,2017-11-04,2017-11-04,Same Day,A000317,GT-14635
CA-2014-157784,2014-07-05,2014-07-08,First Class,A000318,MC-17845
CA-2017-161480,2017-12-25,2017-12-29,Standard Class,A000319,RA-19285
US-2014-117135,2014-06-21,2014-06-23,Second Class,A000320,NP-18325
CA-2015-131534,2015-03-28,2015-04-02,Standard Class,A000321,AB-10165
CA-2015-119291,2015-05-14,2015-05-17,First Class,A000322,JO-15550
CA-2017-114552,2017-09-02,2017-09-08,Standard Class,A000323,Dl-13600
CA-2016-163755,2016-11-04,2016-11-08,Second Class,A000324,AS-10285
CA-2015-142027,2015-04-09,2015-04-14,Standard Class,A000325,JK-15370
CA-2014-138527,2014-09-12,2014-09-17,Standard Class,A000326,BN-11470
CA-2014-112158,2014-12-02,2014-12-04,First Class,A000327,DP-13165
CA-2014-113887,2014-04-05,2014-04-07,First Class,A000328,TH-21550
CA-2017-146136,2017-09-03,2017-09-07,Standard Class,A000329,AP-10915
US-2017-100048,2017-05-19,2017-05-24,Standard Class,A000330,RS-19765
CA-2014-153150,2014-07-01,2014-07-06,Second Class,A000331,Dl-13600
CA-2014-130092,2014-01-11,2014-01-14,First Class,A000332,SV-20365
CA-2017-108910,2017-09-24,2017-09-29,Standard Class,A000333,KC-16540
CA-2014-104472,2014-06-02,2014-06-07,Standard Class,A000334,CK-12325
CA-2016-112942,2016-02-13,2016-02-18,Standard Class,A000335,RD-19810
CA-2016-142335,2016-12-15,2016-12-19,Standard Class,A000336,MP-17965
CA-2014-117429,2014-10-07,2014-10-13,Standard Class,A000337,MR-17545
CA-2016-114713,2016-07-07,2016-07-12,Standard Class,A000338,SC-20695
CA-2017-144113,2017-09-16,2017-09-20,Standard Class,A000339,JF-15355
US-2016-150861,2016-12-03,2016-12-06,First Class,A000340,EG-13900
CA-2017-131954,2017-01-21,2017-01-25,Standard Class,A000341,DS-13030
CA-2014-132500,2014-09-08,2014-09-12,Standard Class,A000342,GZ-14470
CA-2014-112326,2014-01-04,2014-01-08,Standard Class,A000343,PO-19195
US-2016-146710,2016-08-27,2016-09-01,Standard Class,A000344,SS-20875
CA-2014-124429,2014-05-27,2014-05-27,Same Day,A000345,MH-17785
CA-2016-150889,2016-03-20,2016-03-22,Second Class,A000346,PB-19105
CA-2017-126074,2017-10-02,2017-10-06,Standard Class,A000347,RF-19735
CA-2016-110499,2016-04-07,2016-04-09,First Class,A000348,YC-21895
CA-2015-135272,2015-12-07,2015-12-12,Standard Class,A000349,MS-17830
CA-2016-140928,2016-09-18,2016-09-22,Standard Class,A000350,NB-18655
CA-2014-106803,2014-12-29,2015-01-02,Standard Class,A000351,DC-13285
CA-2017-117240,2017-07-23,2017-07-28,Standard Class,A000352,CP-12340
CA-2017-133333,2017-09-18,2017-09-22,Standard Class,A000353,BF-11020
CA-2015-112319,2015-08-31,2015-09-05,Standard Class,A000354,AR-10510
CA-2017-126046,2017-11-03,2017-11-07,Standard Class,A000355,JC-16105
CA-2015-114923,2015-02-08,2015-02-13,Standard Class,A000356,LH-17020
CA-2014-162775,2014-01-13,2014-01-15,Second Class,A000357,CS-12250
CA-2014-106810,2014-05-14,2014-05-20,Standard Class,A000358,AJ-10795
CA-2016-157245,2016-05-19,2016-05-24,Standard Class,A000359,LE-16810
CA-2017-104220,2017-01-30,2017-02-05,Standard Class,A000360,BV-11245
CA-2014-165974,2014-06-29,2014-07-06,Standard Class,A000361,DL-12865
CA-2015-144267,2015-08-21,2015-08-23,First Class,A000362,NZ-18565
