ShipID,ShipDate,ShipMode,CustomerID,ProductID
91,9/22/2016,Standard Class,JS-15685,TEC-PH-10004093
92,9/22/2016,Standard Class,JS-15685,OFF-PA-10000304
93,2/5/2015,Second Class,KB-16315,OFF-PA-10003177
94,2/5/2015,Second Class,KB-16315,FUR-FU-10003799
95,2/5/2015,Second Class,KB-16315,OFF-BI-10002852
96,11/12/2017,Standard Class,RB-19705,OFF-BI-10004738
97,11/11/2017,Second Class,PN-18775,FUR-FU-10000629
98,6/20/2017,First Class,KD-16345,OFF-BI-10001721
99,9/11/2016,Standard Class,ER-13855,OFF-AP-10000358
100,9/2/2016,Standard Class,RB-19465,OFF-PA-10003256
101,9/2/2016,Standard Class,RB-19465,TEC-AC-10001767
102,9/2/2016,Standard Class,RB-19465,OFF-BI-10002609
103,12/4/2016,Second Class,GZ-14470,OFF-PA-10004040
104,11/17/2015,Standard Class,LC-16870,TEC-AC-10001552
105,11/17/2015,Standard Class,LC-16870,FUR-FU-10004006
106,11/17/2015,Standard Class,LC-16870,OFF-BI-10002794
107,11/28/2017,Standard Class,JM-15250,TEC-AC-10003499
108,11/28/2017,Standard Class,JM-15250,TEC-PH-10002844
109,11/28/2017,Standard Class,JM-15250,OFF-AR-10000390
110,10/20/2015,Standard Class,PA-19060,TEC-AC-10000844
111,12/30/2017,Standard Class,CV-12805,FUR-FU-10001934
112,11/10/2016,Standard Class,CL-12565,OFF-AR-10000380
113,11/10/2016,Standard Class,CL-12565,OFF-BI-10003981
114,8/27/2014,Second Class,RC-19960,OFF-FA-10000621
115,8/27/2014,Second Class,RC-19960,OFF-EN-10002600
116,8/27/2014,Second Class,RC-19960,OFF-PA-10004965
117,8/27/2014,Second Class,RC-19960,OFF-EN-10002504
118,3/6/2015,Standard Class,DK-13090,FUR-TA-10001768
119,4/10/2015,Standard Class,GG-14650,OFF-BI-10003650
120,6/15/2016,First Class,SC-20725,FUR-FU-10002157
121,6/15/2016,First Class,SC-20725,OFF-BI-10003910
122,6/15/2016,First Class,SC-20725,OFF-ST-10000777
123,6/15/2016,First Class,SC-20725,OFF-EN-10002500
124,6/15/2016,First Class,SC-20725,TEC-PH-10003875
125,12/28/2014,Second Class,AD-10180,FUR-CH-10004063
126,9/25/2014,Standard Class,PF-19165,FUR-TA-10004534
127,11/12/2017,Standard Class,TS-21610,OFF-BI-10003274
128,11/12/2017,Standard Class,TS-21610,OFF-ST-10002974
129,11/10/2016,Second Class,LS-16975,FUR-CH-10001146
130,11/10/2016,Second Class,LS-16975,FUR-FU-10003773
131,2/5/2017,First Class,DW-13585,TEC-PH-10002293
132,2/5/2017,First Class,DW-13585,OFF-PA-10002377
133,2/5/2017,First Class,DW-13585,OFF-FA-10002780
134,10/19/2016,Standard Class,LC-16885,OFF-PA-10001804
135,10/19/2016,Standard Class,LC-16885,OFF-PA-10001736
136,10/19/2016,Standard Class,LC-16885,OFF-AR-10001149
137,10/19/2016,Standard Class,LC-16885,OFF-FA-10002988
138,10/19/2016,Standard Class,LC-16885,OFF-BI-10004781
139,10/19/2016,Standard Class,LC-16885,OFF-SU-10001218
140,10/19/2016,Standard Class,LC-16885,FUR-FU-10001706
141,9/7/2016,Second Class,JD-15895,FUR-FU-10004848
142,9/23/2017,Standard Class,SH-19975,OFF-AR-10000940
143,9/23/2017,Standard Class,SH-19975,OFF-EN-10004030
144,9/23/2017,Standard Class,SH-19975,OFF-PA-10004327
145,12/27/2017,Standard Class,SG-20080,OFF-AP-10001058
146,9/12/2015,Standard Class,HA-14920,OFF-ST-10003656
147,10/28/2014,Standard Class,MG-17680,FUR-FU-10000521
148,12/9/2016,Standard Class,JE-16165,TEC-PH-10000215
149,12/9/2016,Standard Class,JE-16165,TEC-PH-10001448
150,12/9/2016,Standard Class,JE-16165,FUR-CH-10000454
151,12/9/2016,Standard Class,JE-16165,OFF-BI-10002735
152,3/16/2016,First Class,TW-21025,OFF-AP-10000326
153,3/16/2016,First Class,TW-21025,TEC-PH-10001254
154,6/2/2015,First Class,SP-20650,OFF-PA-10001950
155,6/2/2015,First Class,SP-20650,OFF-PA-10002254
156,6/2/2015,First Class,SP-20650,OFF-ST-10001590
157,6/3/2015,Standard Class,NK-18490,OFF-AR-10001547
158,3/6/2014,Second Class,DB-13060,FUR-CH-10004063
159,11/24/2016,Standard Class,NP-18670,OFF-LA-10002475
160,11/24/2016,Standard Class,NP-18670,TEC-PH-10004536
161,5/12/2016,First Class,TT-21070,OFF-PA-10002751
162,12/31/2015,Second Class,EM-13960,TEC-AC-10003657
163,11/20/2016,Standard Class,RD-19900,OFF-EN-10001990
164,11/11/2016,Standard Class,MJ-17740,OFF-BI-10004002
165,9/12/2014,Standard Class,BM-11140,OFF-AR-10004441
166,9/12/2014,Standard Class,BM-11140,TEC-MA-10000822
167,9/12/2014,Standard Class,BM-11140,OFF-ST-10000991
168,9/12/2014,Standard Class,BM-11140,FUR-CH-10004287
169,9/12/2014,Standard Class,BM-11140,OFF-AR-10002656
170,9/12/2014,Standard Class,BM-11140,OFF-AP-10002518
171,9/12/2014,Standard Class,BM-11140,TEC-PH-10003931
172,8/9/2014,Standard Class,CS-12130,OFF-PA-10000659
173,8/9/2014,Standard Class,CS-12130,OFF-PA-10001144
174,8/9/2014,Standard Class,CS-12130,FUR-CH-10003817
175,9/19/2014,Standard Class,JB-15400,OFF-AP-10000891
176,9/19/2014,Standard Class,JB-15400,OFF-LA-10003148
177,4/25/2017,Second Class,SJ-20500,OFF-AP-10002684
178,11/23/2015,Second Class,JE-15745,FUR-CH-10004698
179,11/23/2015,Second Class,JE-15745,OFF-SU-10002189
180,12/19/2015,Standard Class,JK-15640,OFF-AR-10001940
181,12/9/2014,Second Class,DK-13150,OFF-ST-10003455
182,12/9/2014,Second Class,DK-13150,TEC-AC-10004659
183,11/24/2014,Second Class,RM-19675,TEC-PH-10003273
184,11/24/2014,Second Class,RM-19675,TEC-PH-10004896
185,11/24/2014,Second Class,RM-19675,TEC-AC-10002345
186,12/2/2016,Standard Class,SK-19990,OFF-BI-10001890
187,8/30/2014,Standard Class,FM-14290,TEC-AC-10002323
188,7/22/2016,Standard Class,AM-10360,OFF-ST-10001328
189,7/22/2016,Standard Class,AM-10360,OFF-PA-10001950
190,10/14/2015,First Class,MP-17470,FUR-BO-10002613
191,10/14/2015,First Class,MP-17470,TEC-PH-10001552
192,10/14/2015,First Class,MP-17470,OFF-PA-10000061
193,10/14/2015,First Class,MP-17470,FUR-BO-10002545
194,10/14/2015,First Class,MP-17470,OFF-AR-10003514
195,11/6/2015,Standard Class,MZ-17515,OFF-EN-10001509
196,3/25/2014,Standard Class,CB-12025,OFF-AR-10004685
197,3/25/2014,Standard Class,CB-12025,OFF-AR-10004027
198,11/13/2017,Standard Class,VM-21685,OFF-ST-10001414
199,7/13/2017,Standard Class,FH-14365,OFF-BI-10000343
200,7/13/2017,Standard Class,FH-14365,OFF-PA-10002749
201,6/29/2017,Standard Class,MB-17305,OFF-PA-10002666
202,8/5/2014,First Class,BS-11755,FUR-TA-10004289
203,8/5/2014,First Class,BS-11755,OFF-AP-10003622
204,12/21/2017,Second Class,LC-17140,OFF-AP-10003217
205,6/7/2017,Standard Class,HK-14890,FUR-FU-10002960
206,12/14/2017,Standard Class,LE-16810,TEC-PH-10001918
207,12/7/2017,Standard Class,JH-15985,OFF-ST-10000642
208,12/7/2017,Standard Class,JH-15985,TEC-PH-10001700
209,12/7/2017,Standard Class,JH-15985,OFF-BI-10003274
210,12/7/2017,Standard Class,JH-15985,OFF-FA-10000134
211,12/7/2017,Standard Class,JH-15985,OFF-ST-10001522
212,2/13/2015,Second Class,MS-17980,TEC-AC-10001266
213,1/9/2015,Standard Class,VW-21775,OFF-LA-10004544
214,1/9/2015,Standard Class,VW-21775,FUR-BO-10004695
215,1/9/2015,Standard Class,VW-21775,TEC-PH-10002844
216,1/9/2015,Standard Class,VW-21775,TEC-MA-10000864
217,1/9/2015,Standard Class,VW-21775,TEC-AC-10000109
218,11/1/2016,Standard Class,JH-15910,OFF-ST-10001328
219,11/1/2016,Standard Class,JH-15910,TEC-PH-10002563
220,12/27/2015,First Class,JB-15925,OFF-FA-10000585
221,12/27/2015,First Class,JB-15925,OFF-PA-10004000
222,12/27/2015,First Class,JB-15925,OFF-BI-10002852
223,12/27/2015,First Class,JB-15925,FUR-FU-10000087
224,12/27/2015,First Class,JB-15925,TEC-MA-10001148
225,12/27/2015,First Class,JB-15925,OFF-AR-10001958
226,8/16/2015,Standard Class,DS-13180,OFF-AR-10001026
227,8/16/2015,Standard Class,DS-13180,FUR-TA-10003748
228,8/16/2015,Standard Class,DS-13180,OFF-ST-10002485
229,3/4/2015,Standard Class,VD-21670,FUR-CH-10004860
230,3/4/2015,Standard Class,VD-21670,FUR-CH-10004477
231,9/17/2014,Standard Class,EA-14035,OFF-BI-10001679
232,4/12/2017,Standard Class,CS-12400,FUR-TA-10001705
233,4/12/2017,Standard Class,CS-12400,FUR-TA-10003473
234,4/12/2017,Standard Class,CS-12400,OFF-BI-10001679
235,4/12/2017,Standard Class,CS-12400,FUR-FU-10004017
236,4/12/2017,Standard Class,CS-12400,TEC-AC-10003832
237,11/16/2017,Standard Class,DB-13120,OFF-PA-10002479
238,6/9/2016,Second Class,KL-16645,OFF-PA-10003349
239,6/9/2016,Second Class,KL-16645,FUR-FU-10000576
240,6/9/2016,Second Class,KL-16645,FUR-FU-10004351
241,6/9/2016,Second Class,KL-16645,TEC-PH-10000011
242,6/9/2016,Second Class,KL-16645,FUR-TA-10002607
243,6/9/2016,Second Class,KL-16645,FUR-FU-10002505
244,6/9/2016,Second Class,KL-16645,OFF-AR-10004685
245,6/6/2014,Second Class,DW-13480,FUR-CH-10004063
246,6/6/2014,Second Class,DW-13480,OFF-ST-10002276
247,6/6/2014,Second Class,DW-13480,OFF-PA-10004082
248,6/6/2014,Second Class,DW-13480,OFF-AP-10002945
249,6/6/2014,Second Class,DW-13480,OFF-PA-10000061
250,12/15/2016,Second Class,LH-17155,FUR-CH-10002965
251,9/17/2016,Standard Class,KC-16540,OFF-PA-10004569
252,9/17/2016,Standard Class,KC-16540,TEC-AC-10003832
253,12/13/2016,First Class,DL-13315,OFF-ST-10001228
254,12/13/2016,First Class,DL-13315,OFF-EN-10003296
255,12/4/2015,Standard Class,DR-12880,FUR-FU-10002505
256,12/4/2015,Standard Class,DR-12880,OFF-ST-10004804
257,12/4/2015,Standard Class,DR-12880,OFF-ST-10001590
258,12/4/2015,Standard Class,DR-12880,TEC-PH-10001580
259,12/3/2017,Second Class,CC-12670,TEC-AC-10000290
260,12/3/2017,Second Class,CC-12670,OFF-ST-10002790
261,12/3/2017,Second Class,CC-12670,OFF-BI-10003460
262,6/12/2017,Standard Class,Dl-13600,OFF-AP-10002203
263,9/21/2014,Second Class,SB-20290,TEC-MA-10000822
264,9/21/2014,Second Class,SB-20290,TEC-MA-10003353
265,6/13/2016,Standard Class,RC-19825,TEC-PH-10001433
266,11/15/2015,Standard Class,AH-10210,TEC-AC-10004469
267,6/20/2017,Standard Class,CB-12535,OFF-AR-10003602
268,1/28/2016,Standard Class,PG-18895,OFF-FA-10003472
269,12/13/2017,Standard Class,CA-12310,OFF-ST-10004180
270,12/13/2017,Standard Class,CA-12310,OFF-EN-10004386
271,1/2/2018,Second Class,KH-16690,OFF-ST-10003208
272,7/31/2015,First Class,HA-14920,TEC-AC-10003628
273,7/31/2015,First Class,HA-14920,FUR-FU-10003274
274,7/31/2015,First Class,HA-14920,OFF-BI-10002557
275,9/17/2017,First Class,BB-10990,OFF-PA-10002615
276,9/17/2017,First Class,BB-10990,OFF-AR-10001427
277,10/17/2017,Standard Class,AG-10495,OFF-PA-10000673
278,10/17/2017,Standard Class,AG-10495,OFF-PA-10004470
279,10/17/2017,Standard Class,AG-10495,OFF-ST-10000876
280,10/17/2017,Standard Class,AG-10495,OFF-LA-10002043
281,9/28/2015,Second Class,SC-20725,OFF-BI-10004967
282,9/28/2015,Second Class,SC-20725,TEC-PH-10001760
283,11/6/2015,Standard Class,JO-15280,FUR-TA-10002903
284,10/2/2015,Standard Class,TB-21520,OFF-PA-10000474
285,10/2/2015,Standard Class,TB-21520,TEC-AC-10001956
286,10/2/2015,Standard Class,TB-21520,OFF-PA-10004100
287,12/20/2016,Second Class,AH-10195,OFF-BI-10000778
288,12/20/2016,Second Class,AH-10195,OFF-AP-10002684
289,12/20/2016,Second Class,AH-10195,OFF-SU-10000646
290,11/24/2016,Second Class,NZ-18565,OFF-FA-10002983
291,11/24/2016,Second Class,NZ-18565,OFF-LA-10004689
292,11/24/2016,Second Class,NZ-18565,TEC-AC-10002001
293,11/24/2016,Second Class,NZ-18565,FUR-BO-10004709
294,12/28/2014,First Class,KL-16555,FUR-FU-10004091
295,12/28/2014,First Class,KL-16555,FUR-CH-10001891
296,12/28/2014,First Class,KL-16555,FUR-FU-10002918
297,12/28/2014,First Class,KL-16555,OFF-BI-10004593
298,12/28/2014,First Class,KL-16555,OFF-FA-10004854
299,11/3/2016,Standard Class,JD-15895,OFF-PA-10002105
300,11/3/2016,Standard Class,JD-15895,OFF-ST-10002756
301,11/3/2016,Standard Class,JD-15895,OFF-PA-10004243
302,11/3/2016,Standard Class,JD-15895,FUR-FU-10001861
303,11/3/2016,Standard Class,JD-15895,OFF-BI-10002706
304,11/23/2017,Standard Class,JH-15910,FUR-TA-10002533
305,5/9/2015,Second Class,AS-10225,FUR-FU-10002671
306,1/4/2015,Standard Class,KB-16600,OFF-AR-10003651
307,6/6/2014,Standard Class,CR-12625,OFF-BI-10001072
308,6/6/2014,Standard Class,CR-12625,OFF-AR-10002135
309,4/17/2017,First Class,SH-20395,OFF-AR-10002804
310,9/14/2016,Second Class,BP-11185,FUR-FU-10001918
311,9/14/2016,Second Class,BP-11185,FUR-CH-10004086
312,9/14/2016,Second Class,BP-11185,FUR-FU-10001756
313,9/14/2016,Second Class,BP-11185,OFF-LA-10000634
314,10/3/2014,Standard Class,TS-21205,FUR-FU-10001588
315,8/16/2014,Standard Class,AG-10525,TEC-PH-10002398
316,8/16/2014,Standard Class,AG-10525,OFF-PA-10001937
317,12/30/2014,First Class,SP-20860,OFF-AR-10003373
318,11/9/2014,Standard Class,NM-18445,FUR-CH-10002602
319,11/9/2014,Standard Class,NM-18445,TEC-MA-10002927
320,11/9/2014,Standard Class,NM-18445,TEC-PH-10004093
321,11/9/2014,Standard Class,NM-18445,TEC-AC-10000892
322,11/9/2014,Standard Class,NM-18445,OFF-ST-10002974
323,9/24/2014,Standard Class,FA-14230,OFF-FA-10000624
324,4/27/2016,Standard Class,GK-14620,OFF-BI-10004593
325,4/27/2016,Standard Class,GK-14620,TEC-AC-10001908
326,11/5/2017,Second Class,DJ-13510,FUR-FU-10001967
327,9/1/2016,First Class,PO-18850,TEC-PH-10003645
328,9/1/2016,First Class,PO-18850,OFF-ST-10000675
329,9/1/2016,First Class,PO-18850,FUR-CH-10003312
330,9/1/2016,First Class,PO-18850,OFF-LA-10001074
331,9/1/2016,First Class,PO-18850,OFF-BI-10001524
332,4/29/2016,Second Class,JL-15850,TEC-PH-10004614
333,4/29/2016,Second Class,JL-15850,OFF-BI-10001153
334,4/29/2016,Second Class,JL-15850,OFF-BI-10001982
335,9/4/2015,Second Class,DB-13615,OFF-BI-10001922
336,9/4/2015,Second Class,DB-13615,TEC-CO-10001449
337,9/4/2015,Second Class,DB-13615,OFF-BI-10004140
338,7/17/2014,Standard Class,AC-10420,OFF-BI-10003314
339,7/17/2014,Standard Class,AC-10420,FUR-TA-10004575
340,6/26/2015,Second Class,KL-16645,OFF-FA-10000490
341,4/17/2014,Second Class,JD-15895,OFF-AR-10000122
342,4/17/2014,Second Class,JD-15895,OFF-BI-10003656
343,4/17/2014,Second Class,JD-15895,OFF-FA-10002780
344,4/17/2014,Second Class,JD-15895,TEC-PH-10000702
345,12/24/2015,Standard Class,CS-12130,OFF-ST-10000107
346,6/19/2017,Standard Class,CC-12550,TEC-PH-10002293
347,7/12/2017,Standard Class,TD-20995,OFF-AR-10004027
348,7/12/2017,Standard Class,TD-20995,OFF-PA-10000249
349,7/12/2017,Standard Class,TD-20995,OFF-AR-10001374
350,9/3/2016,First Class,AB-10060,TEC-AC-10000290
351,9/3/2016,First Class,AB-10060,OFF-PA-10001970
352,9/3/2016,First Class,AB-10060,OFF-BI-10002160
353,9/3/2016,First Class,AB-10060,OFF-PA-10001970
354,9/3/2016,First Class,AB-10060,OFF-BI-10004995
355,4/13/2016,Standard Class,JL-15505,FUR-BO-10002268
356,4/13/2016,Standard Class,JL-15505,OFF-EN-10001137
357,4/13/2016,Standard Class,JL-15505,OFF-AR-10002399
358,4/13/2016,Standard Class,JL-15505,OFF-PA-10002713
359,4/28/2016,Standard Class,HK-14890,OFF-PA-10002666
360,3/11/2017,First Class,VB-21745,OFF-AP-10001124
361,3/11/2017,First Class,VB-21745,OFF-LA-10001158
362,10/1/2017,Standard Class,KW-16435,OFF-LA-10001158
363,10/1/2017,Standard Class,KW-16435,FUR-CH-10000785
364,10/1/2017,Standard Class,KW-16435,OFF-AR-10003732
365,10/1/2017,Standard Class,KW-16435,FUR-FU-10000023
366,9/29/2014,Standard Class,JD-16060,OFF-ST-10001713
367,10/21/2016,Same Day,MK-17905,OFF-BI-10002412
368,10/21/2016,Same Day,MK-17905,OFF-SU-10001225
369,10/21/2016,Same Day,MK-17905,OFF-ST-10002406
370,10/21/2016,Same Day,MK-17905,FUR-BO-10002545
371,6/4/2017,Standard Class,GT-14755,OFF-PA-10002036
372,6/4/2017,Standard Class,GT-14755,OFF-ST-10002205
373,7/27/2014,Standard Class,AG-10900,OFF-BI-10001982
374,7/27/2014,Standard Class,AG-10900,TEC-AC-10003911
375,7/27/2014,Standard Class,AG-10900,OFF-AR-10000658
376,7/27/2014,Standard Class,AG-10900,TEC-AC-10002076
377,10/1/2016,First Class,MM-18280,OFF-PA-10003039
378,9/1/2017,Standard Class,AR-10405,FUR-TA-10004915
379,5/5/2015,Standard Class,RA-19915,OFF-AP-10000696
380,5/5/2015,Standard Class,RA-19915,OFF-ST-10003327
381,5/5/2015,Standard Class,RA-19915,OFF-BI-10000309
382,10/29/2016,First Class,AS-10285,OFF-PA-10004734
383,10/29/2016,First Class,AS-10285,OFF-BI-10002225
384,6/29/2015,Second Class,LA-16780,TEC-AC-10004708
385,12/2/2015,Standard Class,DO-13435,FUR-TA-10000617
386,12/2/2015,Standard Class,DO-13435,TEC-AC-10002335
387,12/7/2015,Standard Class,DK-13225,TEC-MA-10001681
388,12/7/2015,Standard Class,DK-13225,FUR-FU-10001935
389,11/26/2014,First Class,NG-18430,OFF-AR-10004757
390,12/15/2017,Standard Class,MV-18190,OFF-BI-10000050
391,12/15/2017,Standard Class,MV-18190,TEC-AC-10001998
392,9/23/2014,Second Class,JG-15115,TEC-PH-10003012
393,9/23/2014,Second Class,JG-15115,TEC-CO-10002313
394,6/10/2014,Second Class,BP-11095,OFF-BI-10003982
395,7/5/2017,Standard Class,VP-21730,OFF-BI-10004492
396,10/19/2017,Second Class,SS-20140,OFF-ST-10000798
397,10/19/2017,Second Class,SS-20140,OFF-PA-10002552
398,11/4/2015,Standard Class,HP-14815,OFF-SU-10002573
399,9/10/2016,Second Class,AG-10675,OFF-ST-10001580
400,9/10/2016,Second Class,AG-10675,FUR-BO-10004834
401,9/10/2016,Second Class,AG-10675,OFF-ST-10000934
402,9/10/2016,Second Class,AG-10675,TEC-AC-10000158
403,12/26/2014,First Class,LF-17185,OFF-PA-10001947
404,4/20/2014,Standard Class,SP-20650,OFF-AR-10003478
405,12/29/2017,Standard Class,RF-19840,OFF-AP-10004249
406,12/12/2017,Standard Class,KH-16510,TEC-AC-10000158
407,12/12/2017,Standard Class,KH-16510,TEC-CO-10004115
408,12/12/2017,Standard Class,KH-16510,OFF-PA-10003724
409,12/12/2017,Standard Class,KH-16510,FUR-TA-10002041
410,12/12/2017,Standard Class,KH-16510,OFF-PA-10002893
411,12/12/2017,Standard Class,KH-16510,OFF-LA-10003766
412,12/12/2017,Standard Class,KH-16510,OFF-PA-10001970
413,12/12/2017,Standard Class,KH-16510,FUR-BO-10001972
414,12/12/2017,Standard Class,KH-16510,FUR-CH-10003956
415,11/7/2017,Standard Class,KC-16675,OFF-PA-10000157
416,11/7/2017,Standard Class,KC-16675,FUR-CH-10001891
417,6/28/2017,Standard Class,CJ-12010,OFF-AR-10004344
418,4/18/2016,Standard Class,PB-19150,FUR-CH-10004886
419,11/10/2017,Standard Class,VB-21745,OFF-PA-10003845
420,3/9/2017,Standard Class,SP-20860,OFF-AR-10001573
421,3/9/2017,Standard Class,SP-20860,OFF-EN-10000483
422,6/25/2014,First Class,JE-15745,TEC-AC-10004114
423,10/23/2017,Standard Class,MP-17965,FUR-FU-10004712
424,10/23/2017,Standard Class,MP-17965,OFF-ST-10000918
425,8/23/2017,Second Class,NF-18385,FUR-CH-10000015
426,11/26/2017,Second Class,JM-15265,FUR-FU-10003347
427,11/26/2017,Second Class,JM-15265,OFF-BI-10001543
428,9/13/2014,First Class,SD-20485,TEC-MA-10000029
429,10/8/2017,Standard Class,KH-16630,OFF-AR-10000369
430,4/21/2016,Standard Class,RB-19795,OFF-BI-10004584
431,4/21/2016,Standard Class,RB-19795,TEC-AC-10004659
432,4/21/2016,Standard Class,RB-19795,TEC-AC-10004659
433,4/21/2016,Standard Class,RB-19795,OFF-ST-10000617
434,6/7/2016,First Class,DB-13060,OFF-ST-10003306
435,12/25/2014,Standard Class,MK-18160,OFF-BI-10000773
436,12/25/2014,Standard Class,MK-18160,TEC-AC-10002600
437,6/14/2016,Second Class,PO-19180,TEC-MA-10002937
438,6/14/2016,Second Class,PO-19180,OFF-PA-10001970
439,9/19/2017,Standard Class,BB-11545,OFF-PA-10002230
440,1/23/2017,Second Class,CV-12805,FUR-CH-10003396
441,9/7/2016,Second Class,PK-19075,FUR-FU-10000246
442,9/7/2016,Second Class,PK-19075,OFF-ST-10000060
443,9/7/2016,Second Class,PK-19075,OFF-ST-10003058
